PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
201564,1.5,3.6,0.428,1.0,3.4,0.476,13-14
203136,0.0,0.1,0.0,,0.0,0.0,13-14
201600,0.0,0.0,0.0,,0.0,0.0,13-14
201956,0.2,0.7,0.34,0.2,0.5,0.39,13-14
203111,0.1,0.4,0.25,0.1,0.2,0.25,13-14
201785,0.0,0.0,,0.0,0.0,,13-14
203490,0.1,0.5,0.263,0.1,0.3,0.289,13-14
200782,0.3,0.8,0.348,0.1,0.6,0.371,13-14
203143,0.4,1.0,0.438,0.7,1.2,0.617,13-14
201976,0.3,1.2,0.292,0.5,0.8,0.346,13-14
202335,0.2,0.6,0.417,0.0,0.5,0.417,13-14
201988,1.7,3.6,0.46,1.1,3.9,0.538,13-14
2200,0.5,1.3,0.364,0.0,0.9,0.364,13-14
202331,2.4,6.5,0.37,2.0,5.3,0.408,13-14
200794,0.7,1.9,0.386,0.1,1.5,0.4,13-14
1718,1.0,2.5,0.424,0.3,2.1,0.438,13-14
203544,0.1,0.3,0.412,0.1,0.3,0.441,13-14
203103,0.1,0.3,0.381,0.1,0.3,0.405,13-14
203491,0.3,0.9,0.381,0.7,0.9,0.524,13-14
203515,0.3,1.1,0.226,0.3,0.6,0.25,13-14
203112,0.0,0.1,0.5,0.0,0.1,0.5,13-14
203113,0.3,1.2,0.29,0.3,0.8,0.315,13-14
202347,0.3,0.9,0.357,0.2,0.7,0.393,13-14
200765,1.5,3.8,0.4,1.7,3.6,0.47,13-14
201196,0.6,2.0,0.303,0.5,1.3,0.333,13-14
200751,1.4,3.4,0.414,1.8,3.5,0.513,13-14
1740,0.1,0.4,0.364,0.0,0.3,0.386,13-14
2446,0.3,0.6,0.571,0.1,0.7,0.661,13-14
951,0.6,1.4,0.402,0.4,1.2,0.431,13-14
203492,0.7,2.6,0.261,0.2,1.4,0.269,13-14
101109,1.2,3.4,0.368,1.0,2.8,0.407,13-14
203493,0.2,0.5,0.348,0.2,0.4,0.391,13-14
2501,0.0,0.0,,,0.0,,13-14
202704,1.5,4.1,0.378,1.0,3.4,0.418,13-14
